"ciudad","anio","modalidad_de_contratacion","contratos","valor"
"Moniquirá","2025","Concurso de méritos abierto","3","311290522.07"
"Sativasur","2024","Licitación pública Obra Publica","1","939061968"
"Chiquinquirá","2020","Contratación régimen especial (con ofertas)","5","5025030503"
"La Uvita","2024","Selección Abreviada de Menor Cuantía","3","699788060.53"
"Caldas","2024","Contratación Directa (con ofertas)","1","120382294"
"No Definido","2022","Contratación régimen especial (con ofertas)","43","11649287117.84"
"Cerinza","2024","Contratación directa","75","1090340947.6"
"Tibasosa","2023","Selección Abreviada de Menor Cuantía","28","4805804443.66"
"Sativanorte","2026","Mínima cuantía","21","614398393.94"
"Garagoa","2024","Concurso de méritos abierto","2","183750000"
"Belén","2026","Mínima cuantía","27","585558343.59"
"Sutamarchán","2022","Contratación régimen especial (con ofertas)","2","521621066.26"
"Monguí","2025","Contratación régimen especial (con ofertas)","7","14049084563.61"
"Pisba","2026","Contratación régimen especial","85","1338320994.15"
"Paya","2024","Contratación directa","143","2796149342.03"
"Muzo","2023","Contratación régimen especial (con ofertas)","3","1066957714.53"
"Boyacá","2024","Contratación directa","173","2977928074.03"
"Chitaraque","2026","Contratación directa","69","1897640442.6"
"Almeida","2023","Contratación régimen especial (con ofertas)","4","564366065"
"Nuevo Colón","2021","Contratación régimen especial (con ofertas)","4","626039816.1"
"Tibasosa","2024","Licitación pública","2","1194830000"
"Corrales","2026","Contratación régimen especial (con ofertas)","5","702823718.98"
"Somondoco","2025","Selección abreviada subasta inversa","2","789339291"
"El Cocuy","2025","Contratación directa","91","2630380219.72"
"Garagoa","2025","Contratación Directa (con ofertas)","2","160765123.16"
"Miraflores","2025","Contratación régimen especial","28","581041087"
"Santana","2026","Contratación directa","98","1747280447"
"Socotá","2025","Selección Abreviada de Menor Cuantía","20","4223334962.14"
"Socotá","2021","Contratación régimen especial (con ofertas)","8","1493696000.10"
"Cubará","2025","Contratación Directa (con ofertas)","2","15920438"
"Villa De Leyva","2023","Contratación Directa (con ofertas)","11","2829145689.03"
"Gameza","2024","Contratación directa","3","24000000"
"Soatá","2025","Selección Abreviada de Menor Cuantía","3","585998765"
"Nobsa","2021","Contratación régimen especial (con ofertas)","2","738944643"
"Paipa","2022","Contratación régimen especial","1","2015100"
"Firavitoba","2026","Contratación directa","73","1334282955"
"Ramiriquí","2022","Mínima cuantía","14","265235326.93"
"Moniquirá","2022","Contratación régimen especial","110","6179537185.3"
"Miraflores","2022","Mínima cuantía","14","272612076"
"Sotaquirá","2024","Concurso de méritos abierto","1","67170166"
"Villa De Leyva","2023","Mínima cuantía","64","1613535722.12"
"Boavita","2026","Concurso de méritos abierto","1","114997800"
"Duitama","2025","Mínima cuantía","158","6067401964.73"
"Nobsa","2026","Contratación directa","184","5502527775.98"
"Socotá","2024","Contratación régimen especial (con ofertas)","6","2093481325.89"
"Chitaraque","2024","Selección abreviada subasta inversa","1","150000000"
"Maripí","2026","Selección Abreviada de Menor Cuantía","6","1490092090"
"No Definido","2019","Mínima cuantía","190","5657458050.61"
"Nuevo Colón","2025","Selección abreviada subasta inversa","2","909251586"
"Pachavita","2024","Contratación directa","11","155198000"
"No Definido","2022","Selección Abreviada de Menor Cuantía","12","1947474151.07"
"Samacá","2025","Selección Abreviada de Menor Cuantía","11","3215610178"
"Duitama","2025","Licitación pública","7","17364144645"
"Tasco","2026","Selección abreviada subasta inversa","3","788637300"
"Puerto Boyacá","2026","Concurso de méritos abierto","2","503683188"
"Tuta","2023","Contratación directa","19","111431528"
"Betéitiva","2025","Contratación régimen especial (con ofertas)","6","872426992.93"
"No Definido","2024","Mínima cuantía","416","16135173431.15"
"Chita","2024","Selección Abreviada de Menor Cuantía","3","520478998"
"Covarachía","2023","Mínima cuantía","5","120246170.06"
"Briceño","2026","Selección Abreviada de Menor Cuantía","7","1707909735.75"
"Soatá","2023","Contratación directa","2","115015000"
"Floresta","2026","Licitación pública Obra Publica","2","2982637657.98"
"Tópaga","2023","Concurso de méritos abierto","1","234207333.21"
"Tasco","2024","Contratación directa","107","1464322261.1"
"Belén","2025","Contratación directa","96","1836350834.26"
"Sativasur","2024","Selección abreviada subasta inversa","2","196253520"
"Betéitiva","2026","Concurso de méritos abierto","1","62779000"
"Sáchica","2020","Contratación régimen especial (con ofertas)","4","638638475.76"
"Duitama","2023","Selección Abreviada de Menor Cuantía","16","6085083597.03"
"Siachoque","2020","Contratación régimen especial (con ofertas)","2","814168071"
"Duitama","2024","Concurso de méritos abierto","2","1115613297.51"
"Sutamarchán","2024","Contratación régimen especial","1","19464000"
"Gachantivá","2024","Selección Abreviada de Menor Cuantía","7","1384084372.01"
"Tunja","2022","Contratación régimen especial","287","136172134081.7"
"Boyacá","2018","Contratación régimen especial","1","119750791"
"Briceño","2026","Contratación directa","71","1192024107.55"
"Macanal","2022","Contratación régimen especial (con ofertas)","5","1188541929.53"
"Santa Sofía","2025","Contratación régimen especial (con ofertas)","9","1795142830"
"Sativanorte","2026","Contratación directa","75","1386517314.28"
"Paya","2026","Concurso de méritos abierto","1","99687000"
"Moniquirá","2025","Selección Abreviada de Menor Cuantía","11","3018060733.94"
"Firavitoba","2023","Mínima cuantía","12","305052368.65"
"Susacón","2025","Selección Abreviada de Menor Cuantía","6","1098740976.7"
"Tibasosa","2025","Contratación directa","260","8368591380.26"
"Tunja","2023","Mínima cuantía","439","17950911991.64"
"Tópaga","2024","Mínima cuantía","1","37300250"
"Muzo","2019","Contratación régimen especial","1","162018500"
"Villa De Leyva","2021","Mínima cuantía","20","287816498.15"
"Aquitania","2025","Selección abreviada subasta inversa","4","1408133350"
"La Uvita","2019","Contratación régimen especial (con ofertas)","4","440371952"
"Socha","2021","Contratación régimen especial","3","83015625"
"Soatá","2018","Contratación régimen especial","2","472720332"
"Oicatá","2025","Mínima cuantía","47","812809213.71"
"San Pablo De Borbur","2026","Selección abreviada subasta inversa","3","872374161"
"Cucaita","2026","Contratación directa","45","787725250"
"Puerto Boyacá","2022","Contratación directa","530","9048810668"
"Tuta","2023","Contratación régimen especial (con ofertas)","2","1376467498.02"
"Tunja","2018","Contratación directa","160","2261253806.03"
"Cuítiva","2025","Contratación régimen especial (con ofertas)","5","708161105"
"Tasco","2026","Mínima cuantía","28","1004814986.75"
"Moniquirá","2021","Mínima cuantía","9","81092270"
"Chivatá","2025","Contratación Directa (con ofertas)","1","2348500"
"Sativasur","2024","Mínima cuantía","19","376215788.29"
"Socotá","2026","Selección Abreviada de Menor Cuantía","3","651005265.15"
"Puerto Boyacá","2021","Licitación pública","4","8124110570"
"Maripí","2025","Licitación pública Obra Publica","1","2663033561"
"Monguí","2026","Selección Abreviada de Menor Cuantía","2","421471579.58"
"Miraflores","2024","Selección Abreviada de Menor Cuantía","16","2787560217.50"
"Cucaita","2025","Selección Abreviada de Menor Cuantía","10","1732728063.94"
"No Definido","2024","Contratación régimen especial","115","3146475606.36"
"Somondoco","2025","Selección Abreviada de Menor Cuantía","6","963214175.06"
"Covarachía","2026","Concurso de méritos abierto","2","367585556.41"
"Pisba","2022","Contratación régimen especial (con ofertas)","4","616150139.63"
"Boyacá","2025","Contratación régimen especial","4","74750000"
"Caldas","2023","Concurso de méritos abierto","1","60000000"
"Páez","2024","Contratación régimen especial","35","319140695"
"Moniquirá","2023","Licitación pública Obra Publica","6","27401228961.00"
"Tunja","2020","Selección abreviada subasta inversa","30","16004644761.61"
"Tunja","2019","Contratación régimen especial (con ofertas)","6","6514482395"
"Toca","2024","Contratación régimen especial (con ofertas)","1","232369970.35"
"Sutamarchán","2023","Contratación directa","2","349000000"
"Sutamarchán","2026","Contratación directa","56","1242099525"
"Nobsa","2024","Selección abreviada subasta inversa","5","1451303215.02"
"Soatá","2024","Mínima cuantía","42","835755756.75"
"Sogamoso","2025","Enajenación de bienes con sobre cerrado","1","49638246"
"No Definido","2022","Mínima cuantía","154","4476323922.68"
"Páez","2025","Contratación régimen especial","19","209212448"
"Sutamarchán","2025","Mínima cuantía","39","885290627.68"
"No Definido","2026","Selección Abreviada de Menor Cuantía","36","8132246543.29"
"Siachoque","2025","Contratación régimen especial (con ofertas)","9","3446581778"
"Cuítiva","2022","Contratación régimen especial (con ofertas)","6","562399530.63"
"Togüí","2022","Contratación régimen especial","6","7953496.1"
"Floresta","2023","Contratación régimen especial (con ofertas)","2","315370000"
"Aquitania","2024","Selección abreviada subasta inversa","3","517626335"
"Sogamoso","2026","Concurso de méritos abierto","6","4537423644.26"
"Muzo","2019","Contratación régimen especial (con ofertas)","1","167488000"
"Moniquirá","2022","Contratación régimen especial (con ofertas)","2","568221000"
"Santa María","2024","Mínima cuantía","37","985865086.23"
"No Definido","2023","Licitación pública Obra Publica","4","8789076686.84"
"Guateque","2021","Mínima cuantía","21","83459013"
"Aquitania","2026","Selección abreviada subasta inversa","4","790584057"
"Puerto Boyacá","2025","Licitación pública","5","17642927672.3"
"Tutazá","2026","Contratación régimen especial (con ofertas)","6","1003703610.47"
"Pesca","2024","Mínima cuantía","19","543521589.63"
"Gachantivá","2026","Contratación régimen especial (con ofertas)","3","334301697"
"Garagoa","2025","Selección abreviada subasta inversa","2","2771398332.84"
"Boavita","2023","Contratación régimen especial (con ofertas)","2","436805412"
"Tunja","2025","Contratación Directa (con ofertas)","967","598177786219.47"
"Duitama","2024","Contratación Directa (con ofertas)","29","3990317294"
"Motavita","2024","Selección abreviada subasta inversa","3","572091774.48"
"Santa Rosa De Viterbo","2022","Contratación régimen especial (con ofertas)","6","1662945007.89"
"Tunja","2023","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","7","8339143068.99"
"Motavita","2022","Contratación régimen especial (con ofertas)","6","989107306.26"
"Ramiriquí","2026","Contratación régimen especial (con ofertas)","4","2733338312"
"Santa María","2022","Contratación régimen especial","1","12700000"
"Coper","2025","Contratación régimen especial (con ofertas)","7","900097278"
"Macanal","2024","Selección abreviada subasta inversa","5","2115647513"
"Caldas","2025","Contratación régimen especial (con ofertas)","4","846582798"
"Tinjacá","2018","Contratación régimen especial (con ofertas)","5","417934963"
"Moniquirá","2023","Contratación régimen especial","280","24951746444.38"
"San Mateo","2026","Licitación pública Obra Publica","1","531912152"
"No Definido","2025","Contratación régimen especial (con ofertas)","80","23571728261.36"
"Chita","2025","Concurso de méritos abierto","1","150000000"
"Ráquira","2025","Selección Abreviada de Menor Cuantía","2","348760413"
"Viracachá","2019","Contratación régimen especial (con ofertas)","4","362736745"
"Moniquirá","2023","Contratación directa","257","11452237704.99"
"Tunja","2023","Selección abreviada subasta inversa","63","26822670101.17"
"Almeida","2024","Contratación régimen especial (con ofertas)","4","332921246.82"
"Moniquirá","2025","Mínima cuantía","60","1585228750.94"
"Sogamoso","2025","Contratación Directa (con ofertas)","3","53393150"
"Tuta","2025","Concurso de méritos abierto","4","403605181"
"Guateque","2026","Contratación directa","107","2164155829"
"Motavita","2024","Licitación pública","1","623000000"
"Puerto Boyacá","2025","Mínima cuantía","103","2219344326"
"Miraflores","2020","Contratación régimen especial","2","391011744.37"
"Tipacoque","2023","Contratación régimen especial (con ofertas)","7","1019783289.53"
"Motavita","2023","Contratación directa","20","77143336"
"Corrales","2025","Mínima cuantía","59","1370334711.46"
"Santa Rosa De Viterbo","2018","Contratación régimen especial","1","545566000"
"Tuta","2019","Contratación régimen especial (con ofertas)","2","1234310690"
"Briceño","2023","Mínima cuantía","3","58636964"
"Covarachía","2026","Mínima cuantía","28","702718067.03"
"Macanal","2024","Contratación régimen especial (con ofertas)","9","2601997109.24"
"Cómbita","2023","Contratación régimen especial (con ofertas)","5","1453474996.47"
"Pisba","2025","Contratación régimen especial","53","510214936"
"Nuevo Colón","2025","Licitación pública Obra Publica","1","464116329.33"
"Umbita","2018","Contratación régimen especial","1","329456400"
"Tunja","2019","Selección Abreviada de Menor Cuantía","33","12353540629.75"
"Chitaraque","2025","Contratación directa","136","5017387101.40"
"Belén","2024","Selección abreviada subasta inversa","3","359614822.68"
"Chiquinquirá","2021","Licitación pública","2","1591349205"
"Chitaraque","2023","Mínima cuantía","3","50033801"
"Samacá","2025","Mínima cuantía","50","1221883636.23"
"Tota","2022","Contratación régimen especial","3","70000000"
"Sativanorte","2025","Selección Abreviada de Menor Cuantía","13","3011352650.86"
"No Definido","2026","Contratación régimen especial","57","2298095972.33"
"Sogamoso","2021","Selección Abreviada de Menor Cuantía","15","4540124632.55"
"Chitaraque","2023","Contratación régimen especial (con ofertas)","7","2463803979.29"
"Pisba","2025","Contratación directa","144","3827919916.28"
"Boavita","2026","Contratación directa","97","1949064268.4"
"Cómbita","2018","Contratación régimen especial","4","1193360224"
"Sogamoso","2022","Contratación Directa (con ofertas)","4","49909566"
"Belén","2024","Mínima cuantía","28","515813807.91"
"San Mateo","2025","Selección Abreviada de Menor Cuantía","7","958052996.72"
"Maripí","2024","Contratación directa","86","1574649689.2"
"Berbeo","2023","Mínima cuantía","4","61371440"
"Tota","2023","Contratación régimen especial","2","39000000"
"San Pablo De Borbur","2023","Contratación régimen especial (con ofertas)","10","1305955384.96"
"No Definido","2017","Contratación régimen especial","1","127500000"
"Chiquinquirá","2025","Contratación directa","478","24611818845.74"
"Tota","2023","Selección Abreviada de Menor Cuantía","1","257933240.83"
"Pesca","2025","Contratación régimen especial","73","1090005503"
"Gameza","2024","Mínima cuantía","3","21841299.92"
"Duitama","2021","Contratación directa","433","9948485059.90"
"Ráquira","2026","Selección abreviada subasta inversa","2","466600000"
"Nobsa","2023","Mínima cuantía","11","267752763.23"
"Floresta","2025","Contratación directa","15","3543925450.85"
"El Cocuy","2024","Contratación directa","82","1868119339.68"
"Cucaita","2025","Contratación Directa (con ofertas)","14","617376656.88"
"Tota","2026","Selección Abreviada de Menor Cuantía","2","403706971"
"Boavita","2025","Contratación directa","117","2193874965.60"
"Tuta","2025","Mínima cuantía","85","2013970419.66"
"Campohermoso","2024","Contratación régimen especial (con ofertas)","5","1297782920.61"
"Chiscas","2026","Contratación régimen especial","3","766475586.85"
"Somondoco","2026","Licitación pública Obra Publica","2","2844777020.25"
"Tasco","2025","Selección Abreviada de Menor Cuantía","5","639631601.97"
"Sutatenza","2023","Contratación régimen especial (con ofertas)","1","204139583"
"Tunja","2017","Contratación Directa (con ofertas)","3","813828368.5"
"Moniquirá","2026","Licitación pública Obra Publica","1","1890710895"
"Covarachía","2024","Contratación directa","73","1116535000"
"Villa De Leyva","2024","Licitación pública","2","1277614141"
"Sotaquirá","2022","Mínima cuantía","2","1039850"
"Berbeo","2023","Contratación directa","17","70684500"
"Santa Sofía","2025","Contratación directa","1","0"
"Corrales","2025","Licitación pública Obra Publica","1","602100356.4"
"Sotaquirá","2024","Selección abreviada subasta inversa","2","442163150"
"Ramiriquí","2023","Contratación directa","80","9815924583.51"
"Oicatá","2025","Contratación Directa (con ofertas)","2","54195988"
"Miraflores","2019","Contratación régimen especial (con ofertas)","4","642361100"
"Puerto Boyacá","2021","Mínima cuantía","119","2008633697"
"Sáchica","2018","Contratación régimen especial","1","167932800"
"Briceño","2021","Contratación régimen especial (con ofertas)","2","202903702.74"
"Tinjacá","2026","Mínima cuantía","22","551688962.62"
"Santana","2024","Selección Abreviada de Menor Cuantía","5","842952192"
"Garagoa","2025","Mínima cuantía","79","1973336172.03"
"Chiscas","2024","Contratación régimen especial","6","545874241.84"
"Sotaquirá","2025","Mínima cuantía","45","1367917578"
"Somondoco","2026","Selección abreviada subasta inversa","3","728627988.54"
"Betéitiva","2023","Selección Abreviada de Menor Cuantía","1","162374310"
"Paz De Río","2024","Mínima cuantía","27","638880454"
"Cómbita","2021","Contratación régimen especial (con ofertas)","4","1062954740"
"San Mateo","2026","Contratación régimen especial (con ofertas)","4","1103653656.67"
"Chivor","2018","Contratación régimen especial (con ofertas)","1","133368256"
"Nuevo Colón","2020","Contratación régimen especial (con ofertas)","6","609141652"
"Tota","2024","Contratación directa","140","1796250689"
"San José De Pare","2026","Contratación régimen especial (con ofertas)","4","1112685846.97"
"Chitaraque","2025","Selección abreviada subasta inversa","1","104000000"
"Santa María","2018","Contratación régimen especial (con ofertas)","5","590503530"
"Moniquirá","2023","Concurso de méritos abierto","8","2831100905.34"
"Sora","2026","Selección Abreviada de Menor Cuantía","5","1065669143.53"
"Macanal","2025","Enajenación de bienes con subasta","1","4000000"
"Nobsa","2023","Contratación Directa (con ofertas)","2","1007889400"
"Nuevo Colón","2026","Selección abreviada subasta inversa","3","985575651"
"Chita","2023","Contratación régimen especial (con ofertas)","1","683562500"
"Nobsa","2024","Contratación régimen especial (con ofertas)","13","6906547097.97"
"Sativanorte","2019","Contratación régimen especial","1","34485000"
"Firavitoba","2021","Contratación régimen especial (con ofertas)","1","83410000"
"Sogamoso","2025","Contratación directa","1813","245150959645.65"
"Pesca","2021","Contratación régimen especial (con ofertas)","2","173000000"
"Caldas","2024","Selección abreviada subasta inversa","2","302369700"
"Pisba","2025","Selección abreviada subasta inversa","4","858205681"
"Chitaraque","2026","Mínima cuantía","28","890415875.17"
"Maripí","2025","Contratación régimen especial (con ofertas)","15","3729803183"
"Duitama","2023","Contratación directa","912","31905089567.09"
"Samacá","2025","Contratación régimen especial","71","1073916631.22"
"Chiquinquirá","2024","Licitación pública","2","1768858893"
"Gameza","2023","Mínima cuantía","1","10399993.1"
"El Cocuy","2025","Selección abreviada subasta inversa","9","1130427878.98"
"Coper","2026","Contratación régimen especial (con ofertas)","5","935597593.30"
"Pesca","2025","Contratación régimen especial (con ofertas)","12","2467538528"
"Pesca","2023","Licitación pública","1","370830566"
"Ramiriquí","2025","Concurso de méritos abierto","2","994154290"
"Briceño","2024","Mínima cuantía","41","922568197.88"
"Firavitoba","2024","Mínima cuantía","37","961605375.49"
"El Cocuy","2026","Licitación pública","1","820522438.08"
"Guateque","2025","Contratación directa","181","3517653094.81"
"Cubará","2024","Contratación directa","1","22315000"
"Sutatenza","2024","Contratación régimen especial","1","34300000"
"Tota","2023","Contratación régimen especial (con ofertas)","3","599630764.12"
"Covarachía","2021","Contratación régimen especial (con ofertas)","4","383707017"
"Moniquirá","2019","Contratación régimen especial (con ofertas)","1","45966250"
"San Pablo De Borbur","2020","Contratación régimen especial (con ofertas)","1","299145910"
"Chiquinquirá","2025","Contratación Directa (con ofertas)","1","100339828"
"Togüí","2019","Contratación régimen especial","1","126317543.75"
"Chiquinquirá","2024","Selección Abreviada de Menor Cuantía","5","940454667"
"Nobsa","2023","Contratación régimen especial (con ofertas)","9","5300164944"
"Santa María","2026","Selección Abreviada de Menor Cuantía","3","815625146.24"
"Moniquirá","2022","Contratación directa","11","567015000"
"Tunja","2018","Selección Abreviada de Menor Cuantía","23","6236395264.34"
"Tibasosa","2019","Contratación régimen especial (con ofertas)","1","842506139.98"
"Santa Rosa De Viterbo","2023","Contratación régimen especial (con ofertas)","3","1862317650.47"
"Sora","2026","Selección abreviada subasta inversa","1","430622660.59"
"Coper","2024","Contratación régimen especial (con ofertas)","6","751172141.54"
"Sogamoso","2022","Contratación régimen especial (con ofertas)","3","487562526"
"Socha","2023","Contratación régimen especial (con ofertas)","18","4912295538.57"
"Corrales","2021","Contratación régimen especial (con ofertas)","1","218271638"
"Firavitoba","2025","Mínima cuantía","47","1201397976.42"
"Chita","2025","Mínima cuantía","57","1949864145.93"
"Togüí","2025","Contratación régimen especial (con ofertas)","8","2413250493"
"Sogamoso","2020","Mínima cuantía","84","2480653579.07"
"Cubará","2026","Contratación Directa (con ofertas)","1","17000000"
"Belén","2026","Selección Abreviada de Menor Cuantía","2","284402989"
"Chita","2025","Contratación régimen especial (con ofertas)","15","3700573393"
"Paz De Río","2023","Contratación régimen especial (con ofertas)","1","380000000"
"Nobsa","2023","Contratación directa","17","70003239"
"Caldas","2020","Contratación régimen especial","2","149011021"
"Moniquirá","2020","Contratación régimen especial (con ofertas)","4","2035676940"
"Ramiriquí","2025","Mínima cuantía","87","1863463048.69"
"Zetaquira","2023","Contratación régimen especial","63","483922676"
"Cucaita","2022","Contratación régimen especial (con ofertas)","4","756826056.90"
"Boyacá","2022","Contratación régimen especial (con ofertas)","9","1102806195.90"
"Socha","2025","Contratación régimen especial","116","5798838632.52"
"Cubará","2022","Contratación régimen especial","7","49705304"
"Briceño","2023","Contratación régimen especial (con ofertas)","6","575271144.49"
"Somondoco","2025","Licitación pública Obra Publica","2","2983370461.23"
"Sáchica","2022","Mínima cuantía","28","349900596.48"
"Nobsa","2024","Concurso de méritos abierto","1","224285651"
"Pauna","2022","Contratación régimen especial","3","15206000"
"Zetaquira","2022","Contratación régimen especial","25","134208347.42"
"Pisba","2025","Mínima cuantía","59","1731001808.38"
"Pauna","2025","Selección Abreviada de Menor Cuantía","9","2670826738.54"
"Cómbita","2025","Selección abreviada subasta inversa","3","478245333"
"San Eduardo","2024","Selección Abreviada de Menor Cuantía","4","860295981.91"
"Pisba","2020","Contratación régimen especial (con ofertas)","3","154294019"
"San Pablo De Borbur","2021","Contratación régimen especial (con ofertas)","3","619907945"
"Panqueba","2025","Contratación régimen especial (con ofertas)","4","751911550"
"Tópaga","2026","Contratación régimen especial (con ofertas)","5","1645967867.97"
"Tópaga","2025","Contratación régimen especial (con ofertas)","5","1469640420"
"Sogamoso","2026","Contratación régimen especial","1","22900200"
"Duitama","2024","Mínima cuantía","155","5243494043.28"
"San Pablo De Borbur","2025","Contratación directa","112","2897099641.02"
"Puerto Boyacá","2026","Contratación directa","334","9556719924"
"Nuevo Colón","2024","Contratación régimen especial (con ofertas)","8","971665837.57"
"Tota","2024","Contratación régimen especial (con ofertas)","9","1856165550.64"
"Cómbita","2022","Contratación régimen especial (con ofertas)","4","651970284"
"Nobsa","2026","Selección abreviada subasta inversa","6","2749004036"
"La Uvita","2023","Mínima cuantía","12","139419068.55"
"Boyacá","2025","Concurso de méritos abierto","3","785490510.42"
"Samacá","2026","Selección abreviada subasta inversa","3","612200000"
"Susacón","2026","Mínima cuantía","16","289313530.59"
"Gachantivá","2026","Contratación directa","30","572122000"
"No Definido","2023","Contratación directa","609","7182931908.25"
"Cubará","2022","Selección Abreviada de Menor Cuantía","1","192849324"
"Sogamoso","2024","Selección Abreviada de Menor Cuantía","26","7012612753.76"
"Aquitania","2023","Contratación régimen especial (con ofertas)","14","2133639757.92"
"Iza","2023","Mínima cuantía","6","83368928.3"
"Paipa","2024","Contratación directa","113","620767093019041"
"Tibasosa","2023","Licitación pública","1","720437684"
"Sotaquirá","2023","Contratación régimen especial (con ofertas)","9","2555197968.02"
"Miraflores","2024","Selección abreviada subasta inversa","3","1082464026.74"
"Corrales","2024","Selección abreviada subasta inversa","1","51355000"
"Sativanorte","2026","Contratación régimen especial (con ofertas)","6","970870149.98"
"Cómbita","2024","Selección Abreviada de Menor Cuantía","10","2395192994.96"
"Buenavista","2024","Contratación régimen especial (con ofertas)","13","1700786067.55"
"Chita","2024","Contratación régimen especial (con ofertas)","3","1263545115.48"
"Pauna","2025","Contratación régimen especial (con ofertas)","10","2643304643.28"
"San Mateo","2025","Contratación directa","72","1543444401.75"
"Paya","2026","Selección Abreviada de Menor Cuantía","1","300000000"
"Chitaraque","2025","Mínima cuantía","57","1673255546.93"
"Corrales","2024","Contratación régimen especial (con ofertas)","7","1153375201.92"
"Sogamoso","2021","Mínima cuantía","196","4250063277.08"
"Buenavista","2025","Contratación directa","2","5786000"
"Aquitania","2022","Mínima cuantía","8","168027393"
"Miraflores","2020","Contratación régimen especial (con ofertas)","5","648631977"
"Moniquirá","2021","Contratación régimen especial","1","55907476"
"Miraflores","2026","Concurso de méritos abierto","1","104999997"
"Boyacá","2025","Selección Abreviada de Menor Cuantía","8","2170015567.83"
"Motavita","2024","Selección Abreviada de Menor Cuantía","6","1143596119.4"
"Somondoco","2023","Contratación directa","1","4336634.11"
"San Miguel De Sema","2023","Contratación régimen especial","30","17534255584.52"
"Arcabuco","2025","Contratación régimen especial","2","28786561"
"Iza","2026","Contratación directa","71","1134746388.0"
"Quípama","2025","Contratación Directa (con ofertas)","1","6000000"
"La Uvita","2025","Contratación régimen especial (con ofertas)","8","1289815739.16"
"No Definido","2024","Contratación régimen especial (con ofertas)","70","22993874011.99"
"Villa De Leyva","2022","Mínima cuantía","46","882172485.15"
"Tibasosa","2023","Contratación régimen especial (con ofertas)","19","6140226932.41"
"Villa De Leyva","2021","Selección abreviada subasta inversa","3","423105870"
"Moniquirá","2019","Contratación régimen especial","6","300163134"
"Tuta","2023","Concurso de méritos abierto","1","40915255"
"El Cocuy","2024","Selección abreviada subasta inversa","2","326743000"
"Tinjacá","2024","Contratación régimen especial (con ofertas)","8","657992933.86"
"Sutamarchán","2025","Contratación Directa (con ofertas)","2","525757296"
"San Pablo De Borbur","2025","Selección abreviada subasta inversa","3","459973984.4"
"Santa María","2023","Contratación régimen especial","2","97885128"
"Caldas","2020","Contratación régimen especial (con ofertas)","2","194779257"
"Aquitania","2025","Mínima cuantía","30","748977552.1"
"Tunja","2021","Contratación régimen especial","146","94817835774.32"
"Gachantivá","2024","Contratación directa","72","875346451"
"Chíquiza","2021","Contratación régimen especial (con ofertas)","2","138855000"
"Turmequé","2025","Contratación directa","3","134133141"
"Miraflores","2026","Mínima cuantía","37","973245702.21"
"Sativasur","2024","Concurso de méritos abierto","1","65734338"
"Berbeo","2026","Selección Abreviada de Menor Cuantía","3","560050184"
"Socotá","2024","Selección Abreviada de Menor Cuantía","7","1230112719.04"
"Paya","2017","Contratación Directa (con ofertas)","2","225887474"
"Pesca","2024","Contratación directa","109","1698855578.38"
"Garagoa","2026","Contratación régimen especial (con ofertas)","1","379995550"
"Ráquira","2024","Contratación régimen especial (con ofertas)","9","1899918172.26"
"Buenavista","2022","Contratación régimen especial (con ofertas)","3","522056457.26"
"Sativasur","2023","Contratación régimen especial (con ofertas)","2","122445345.48"
"No Definido","2024","Selección abreviada subasta inversa","41","10832207934.64"
"Zetaquira","2026","Contratación régimen especial","104","972538750"
"Zetaquira","2025","Contratación directa","1","301096557"
"Sativasur","2025","Enajenación de bienes con subasta","1","70600000"
"Chiquinquirá","2022","Licitación pública","3","5671307523"
"Miraflores","2022","Selección Abreviada de Menor Cuantía","1","59999919"
"Socha","2026","Contratación régimen especial","82","4112371655.88"
"Paz De Río","2026","Selección Abreviada de Menor Cuantía","1","168168690"
"Ventaquemada","2019","Contratación régimen especial (con ofertas)","1","200000000"
"Guateque","2026","Mínima cuantía","42","1077339505.74"
"Sativanorte","2023","Mínima cuantía","4","47135900"
"Berbeo","2023","Contratación régimen especial (con ofertas)","5","382426540"
"Macanal","2023","Contratación régimen especial","1","142857142.86"
"Iza","2020","Contratación régimen especial (con ofertas)","3","213730971"
"Santa Rosa De Viterbo","2023","Mínima cuantía","14","331008486"
"Corrales","2018","Contratación régimen especial (con ofertas)","4","244216364"
"Maripí","2023","Selección abreviada subasta inversa","1","52150000"
"Corrales","2023","Selección abreviada subasta inversa","1","57165281"
"Muzo","2021","Contratación régimen especial (con ofertas)","1","249477657"
"Sora","2026","Contratación Directa (con ofertas)","1","81000000"
"San Eduardo","2026","Mínima cuantía","25","568581623.28"
"Socotá","2019","Contratación régimen especial (con ofertas)","6","1081965689"
"Samacá","2026","Concurso de méritos abierto","3","551320730.93"
"Umbita","2024","Contratación régimen especial","4","375250297.14"
"Puerto Boyacá","2026","Licitación pública","3","13599116433"
"Chivor","2025","Contratación directa","2","54400000"
"Berbeo","2024","Concurso de méritos abierto","2","161483109.73"
"Macanal","2024","Selección Abreviada de Menor Cuantía","2","671539073"
"Sotaquirá","2024","Contratación directa","142","2665658498.39"
"Tipacoque","2022","Contratación régimen especial (con ofertas)","3","216394970"
"Covarachía","2024","Mínima cuantía","39","788548141.20"
"Motavita","2024","Contratación directa","99","1977934726.9"
"Tunja","2022","Licitación pública","21","52619941535.16"
"Macanal","2025","Contratación régimen especial (con ofertas)","9","3406315703.62"
